Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2010-04-23,28.045825,28.25165,27.553636,27.857898,1436800.0,,
2010-04-22,27.920541,28.448525,27.544687,28.108467,1730600.0,,
2010-04-21,27.285169,27.374658,26.828776,27.168834,1555300.0,,
2010-04-20,26.810878,27.285169,26.739287,27.186732,1444200.0,,
2010-04-19,26.757185,26.828776,26.47082,26.685594,1280800.0,,
2010-04-16,26.426076,26.775083,26.282894,26.739287,1535600.0,,
2010-04-15,26.184456,26.399229,26.041274,26.39028,577200.0,,
2010-04-14,26.354485,26.354485,25.969682,26.130762,942800.0,,
2010-04-13,26.184456,26.399229,25.90704,26.363434,835500.0,,
2010-04-12,26.399229,26.399229,26.202354,26.256047,468500.0,,
2010-04-09,26.166558,26.381331,26.112865,26.372383,545300.0,,
2010-04-08,26.282894,26.354485,26.050222,26.112865,767400.0,,
2010-04-07,25.862296,26.014427,25.74596,25.98758,864600.0,,
2010-04-06,25.790705,26.077069,25.781756,25.978631,493000.0,,
2010-04-05,25.593829,25.969682,25.540136,25.880194,731400.0,,
2010-04-02,25.58488,25.58488,25.58488,25.58488,0.0,,
2010-04-01,25.996529,26.06812,25.432749,25.58488,936900.0,,
2010-03-31,26.130762,26.14866,25.728062,25.880194,755500.0,,
2010-03-30,25.90704,26.247098,25.8265,26.202354,673000.0,,
2010-03-29,25.701216,25.889142,25.611727,25.808602,469900.0,,
2010-03-26,25.692267,25.692267,25.334311,25.58488,573100.0,,
2010-03-25,25.719113,25.763858,25.549085,25.593829,698000.0,,
2010-03-24,26.139711,26.14866,25.647522,25.701216,627900.0,,
2010-03-23,26.184456,26.220251,25.871245,26.139711,588700.0,,
2010-03-22,25.629625,26.2292,25.575931,26.211302,1033800.0,,
2010-03-19,25.647522,25.719113,25.298516,25.66542,1924300.0,,
2010-03-18,25.325362,25.611727,25.226924,25.566982,635500.0,,
2010-03-17,25.414851,25.486442,25.217976,25.235873,810800.0,,
2010-03-16,25.235873,25.459596,25.003202,25.379056,1181200.0,,
2010-03-15,24.904764,24.931611,24.707889,24.833173,998000.0,,
2010-03-12,25.119538,25.18218,24.886867,24.994253,897800.0,,
2010-03-11,25.038998,25.155333,24.877918,25.128487,516000.0,,
2010-03-10,25.003202,25.226924,24.985304,25.10164,629200.0,,
2010-03-09,25.038998,25.200078,24.976355,25.047947,772500.0,,
2010-03-08,25.450647,25.459596,25.10164,25.119538,762300.0,,
2010-03-05,25.092691,25.4238,25.038998,25.4238,855800.0,,
2010-03-04,25.173231,25.200078,24.994253,25.047947,688900.0,,
2010-03-03,25.50434,25.50434,25.030049,25.056896,852400.0,,
2010-03-02,25.26272,25.50434,25.209027,25.468545,767800.0,,
2010-03-01,24.985304,25.271669,24.976355,25.119538,1013800.0,,
2010-02-26,25.146384,25.226924,24.958458,25.092691,1524300.0,,
2010-02-25,24.833173,25.128487,24.681042,25.128487,883300.0,,
2010-02-24,24.913713,25.092691,24.851071,24.958458,716100.0,,
2010-02-23,24.833173,25.030049,24.672093,24.833173,1517200.0,,
2010-02-22,25.244822,25.253771,24.842122,24.958458,815700.0,,
2010-02-19,24.770531,25.226924,24.69894,25.18218,1309200.0,,
2010-02-18,24.609451,24.967407,24.609451,24.931611,608700.0,,
